"Name","test_acc","test_acc_std","num_nodes","node_degree","model","State","Notes","User","Tags","Created","Runtime","Sweep","add_hp","add_lp","adjoint","adjoint_method","adjoint_step_size","chebyshev_layers_K","command","cuda","d","dataset","deg_normalised","device","dim_list","dropout","dual_diag","dual_diff_strength","dual_left_linear","dual_linear","dual_normalised","dual_right_linear","early_stopping","earlystopxT","edge_noise","edge_weights","ellipsoid_radius","ellipsoids","entity","epochs","evectors","feat_noise","folds","graph_size","het_coef","hidden_channels","input_dim","input_dropout","just_add_noise","layers","learn_first_maps","left_weights","linear","lr","max_iters","max_nfe","max_t","max_test_steps","method","min_acc","new_synth_data","new_synth_edges","no_early","node_edge_sims_time_dependent","normalised","num_classes","num_feats","num_of_convolutions","orth","output_dim","parameters.cuda","parameters.dataset","parameters.early_stopping","parameters.edge_noise","parameters.ellipsoids","parameters.epochs","parameters.feat_noise","parameters.het_coef","parameters.lr","parameters.models","parameters.node_degrees","parameters.num_classes","parameters.num_feats","parameters.num_nodess","parameters.seed","parameters.sheaf_decay","parameters.weight_decay","program","project","right_weights","rotation_invariant_sheaf_learner","second_linear","seed","sha","sheaf_act","sheaf_decay","sheaf_init","sparse_learner","step_size","stop_strategy","tol_scale","tol_scale_adjoint","use_act","use_embedding","use_epsilons","weight_decay","zero_laplacian","best_epoch","best_test_acc","best_val_acc","fold0_tmp_test_acc","fold0_tmp_test_loss","fold0_train_acc","fold0_train_loss","fold0_val_acc","fold0_val_loss","val_acc"
"chocolate-sweep-19","95","4.743416490252569","100","2","GeneralSheafChebyshev","finished","-","","","2025-09-30T16:42:08.000Z","93","i9d1ur5v","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.9","0.975","0.875","0.4829650819301605","1","0.0008950097835622728","0.875","0.6683081388473511","97.25"
"logical-sweep-1","95.5","3.6742346141747664","100","2","DiagSheafChebyshev","finished","-","","","2025-09-30T16:04:36.000Z","99","i9d1ur5v","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.16841939091682434","1","0.00029288456426002085","0.975","0.051685117185115814","95.5"
"wobbly-sweep-10","96.75","3.172144385112379","100","2","BundleSheafChebyshev","finished","-","","","2025-09-30T16:26:59.000Z","100","i9d1ur5v","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134050130844116","1","0.0004414004506543278","1","0.026533907279372215","97.25"
"deft-sweep-22","95","4.743416490252569","100","6","GeneralSheafChebyshev","finished","-","","","2025-09-30T21:29:47.000Z","114","tb8dn19m","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.9","0.975","0.875","0.8743570446968079","1","0.0008537099347449839","0.75","0.8354963064193726","97.25"
"proud-sweep-4","95.5","3.6742346141747664","100","6","DiagSheafChebyshev","finished","-","","","2025-09-30T20:51:46.000Z","128","tb8dn19m","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.1684187948703766","1","0.0002928855537902564","0.975","0.0516853928565979","95.5"
"quiet-sweep-13","96.75","3.172144385112379","100","6","BundleSheafChebyshev","finished","-","","","2025-09-30T21:11:25.000Z","116","tb8dn19m","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134042680263519","1","0.0004414004506543278","1","0.026533925905823708","97.25"
"comic-sweep-25","95","4.743416490252569","100","10","GeneralSheafChebyshev","finished","-","","","2025-09-30T16:51:12.000Z","92","i9d1ur5v","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.9","0.975","0.925","0.4067271649837494","1","0.0004705064056906849","0.875","0.4501166343688965","97.25"
"golden-sweep-7","95.5","3.6742346141747664","100","10","DiagSheafChebyshev","finished","-","","","2025-09-30T20:58:34.000Z","131","tb8dn19m","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.16841840744018555","1","0.00029288456426002085","0.975","0.05168579146265984","95.5"
"golden-sweep-16","96.75","3.172144385112379","100","10","BundleSheafChebyshev","finished","-","","","2025-09-30T16:37:18.000Z","93","i9d1ur5v","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134043425321579","1","0.0004414004506543278","1","0.026533912867307663","97.25"
"ethereal-sweep-20","95","4.743416490252569","500","2","GeneralSheafChebyshev","finished","-","","","2025-09-30T16:43:47.000Z","84","i9d1ur5v","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.9","0.975","0.9","0.45650988817214966","1","0.0004089658905286342","0.875","0.5227622389793396","97.25"
"polished-sweep-2","95.5","3.6742346141747664","500","2","DiagSheafChebyshev","finished","-","","","2025-09-30T20:47:12.000Z","137","tb8dn19m","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.16841952502727509","1","0.00029288456426002085","0.975","0.05168522149324417","95.5"
"denim-sweep-11","96.75","3.172144385112379","500","2","BundleSheafChebyshev","finished","-","","","2025-09-30T21:07:27.000Z","112","tb8dn19m","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134045660495758","1","0.0004414004506543278","1","0.026533912867307663","97.25"
"autumn-sweep-23","95","4.743416490252569","500","6","GeneralSheafChebyshev","finished","-","","","2025-09-30T21:31:46.000Z","111","tb8dn19m","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.9","0.975","0.9","0.3033844828605652","1","0.0006157475872896612","0.825","0.3876602053642273","97.25"
"silvery-sweep-5","95.5","3.6742346141747664","500","6","DiagSheafChebyshev","finished","-","","","2025-09-30T16:11:40.000Z","95","i9d1ur5v","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.16841857135295868","1","0.0002928865433204919","0.975","0.051685772836208344","95.5"
"dainty-sweep-14","96.75","3.172144385112379","500","6","BundleSheafChebyshev","finished","-","","","2025-09-30T16:33:56.000Z","102","i9d1ur5v","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134044170379639","1","0.0004414014401845634","1","0.02653399482369423","97.25"
"eager-sweep-26","95.5","5.220153254455275","500","10","GeneralSheafChebyshev","finished","-","","","2025-09-30T16:52:50.000Z","92","i9d1ur5v","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","37","0.85","1","0.925","0.5059245824813843","1","0.0005478155217133462","0.775","0.7722153663635254","97.5"
"fanciful-sweep-8","95.5","3.6742346141747664","500","10","DiagSheafChebyshev","finished","-","","","2025-09-30T21:00:48.000Z","133","tb8dn19m","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.16841892898082733","1","0.00029288456426002085","0.975","0.05168583989143371","95.5"
"winter-sweep-17","96.75","3.172144385112379","500","10","BundleSheafChebyshev","finished","-","","","2025-09-30T21:19:36.000Z","110","tb8dn19m","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134047150611877","1","0.0004414004506543278","1","0.026533927768468857","97.25"
"lucky-sweep-21","95","4.743416490252569","1000","2","GeneralSheafChebyshev","finished","-","","","2025-09-30T21:27:48.000Z","117","tb8dn19m","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.9","0.975","0.875","0.4555894732475281","1","0.0006844773306511343","0.8","0.9379013776779176","97.25"
"different-sweep-3","95.5","3.6742346141747664","1000","2","DiagSheafChebyshev","finished","-","","","2025-09-30T16:08:07.000Z","99","i9d1ur5v","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.1684194058179855","1","0.00029288456426002085","0.975","0.05168536305427551","95.5"
"atomic-sweep-12","96.75","3.172144385112379","1000","2","BundleSheafChebyshev","finished","-","","","2025-09-30T21:09:21.000Z","118","tb8dn19m","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134050875902176","1","0.0004414004506543278","1","0.02653394639492035","97.25"
"usual-sweep-24","95","4.743416490252569","1000","6","GeneralSheafChebyshev","finished","-","","","2025-09-30T21:33:40.000Z","108","tb8dn19m","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.9","0.975","0.9","0.5454633235931396","1","0.0003776990051846951","0.85","0.5025047659873962","97.25"
"helpful-sweep-6","95.5","3.6742346141747664","1000","6","DiagSheafChebyshev","finished","-","","","2025-09-30T20:56:15.000Z","135","tb8dn19m","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.16841961443424225","1","0.0002928835747297853","0.975","0.05168501287698746","95.5"
"rose-sweep-15","96.75","3.172144385112379","1000","6","BundleSheafChebyshev","finished","-","","","2025-09-30T16:35:40.000Z","93","i9d1ur5v","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134050875902176","1","0.0004414004506543278","1","0.026533890515565872","97.25"
"rural-sweep-27","95","4.743416490252569","1000","10","GeneralSheafChebyshev","finished","-","","","2025-09-30T21:39:31.000Z","106","tb8dn19m","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","33","0.9","0.975","0.9","0.6351784467697144","1","0.0006460348959080875","0.85","0.7109649181365967","97.25"
"youthful-sweep-9","95.5","3.6742346141747664","1000","10","DiagSheafChebyshev","finished","-","","","2025-09-30T21:03:03.000Z","139","tb8dn19m","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","1499","0.975","1","0.975","0.16841882467269895","1","0.00029288456426002085","0.975","0.05168541148304939","95.5"
"vague-sweep-18","96.75","3.172144385112379","1000","10","BundleSheafChebyshev","finished","-","","","2025-09-30T16:40:35.000Z","89","i9d1ur5v","false","false","false","adaptive_heun","1","3","","1","2","synthetic_exp","false","cuda:1","[]","0","false","1","false","true","true","false","200","3","0","true","1","false","","1500","0","0","10","200","0.9","20","10","0","false","2","false","true","false","0.01","100","1000","1","100","","0","false","false","false","false","true","3","3","1","householder","2","","","","","","","","","","","","","","","","","","","","true","false","false","43","7735f86c5f103e2db31b70210b94f07297018a51","tanh","0.0005","true","false","1","loss","1","1","true","true","true","0.0005","false","333","0.95","0.925","0.975","0.07134061306715012","1","0.0004414014401845634","1","0.026533987373113632","97.25"