Data_RiSNN,num_feats,feat_noise,edge-noise,num_nodes,degree,num_edges,num_classes,het,model,results,Test acc,std,Val acc
Data_RiSNN1002,15,0,0,100,2,100,3,0.9,MLP,Test acc: 26.0000 +/- 13.0000 | Val acc: 31.0000,26.0000, 13.000,31.0000
Data_RiSNN1002,15,0,0,100,2,100,3,0.9,VanillaSheaf,Test acc: 30.0000 +/- 12.4499 | Val acc: 39.0000,30.0000, 12.449,39.0000
Data_RiSNN1002,15,0,0,100,2,100,3,0.9,DiagSheaf,Test acc: 38.5000 +/- 17.7553 | Val acc: 50.5000,38.5000, 17.755,50.5000
Data_RiSNN1002,15,0,0,100,2,100,3,0.9,RotInvSheaf NoTime,Test acc: 30.5000 +/- 16.0390 | Val acc: 45.0000,30.5000, 16.039,45.0000
Data_RiSNN1002,15,0,0,100,2,100,3,0.9,RotInvSheaf Time,Test acc: 30.5000 +/- 15.2398 | Val acc: 44.0000,30.5000, 15.239,44.0000
Data_RiSNN1006,15,0,0,100,6,300,3,0.9,MLP,Test acc: 25.5000 +/- 12.1347 | Val acc: 36.0000,25.5000, 12.134,36.0000
Data_RiSNN1006,15,0,0,100,6,300,3,0.9,VanillaSheaf,Test acc: 31.5000 +/- 11.8427 | Val acc: 37.5000,31.5000, 11.842,37.5000
Data_RiSNN1006,15,0,0,100,6,300,3,0.9,DiagSheaf,Test acc: 70.0000 +/- 13.0384 | Val acc: 70.0000,70.0000, 13.038,70.0000
Data_RiSNN1006,15,0,0,100,6,300,3,0.9,RotInvSheaf NoTime,Test acc: 42.5000 +/- 18.3371 | Val acc: 50.5000,42.5000, 18.337,50.5000
Data_RiSNN1006,15,0,0,100,6,300,3,0.9,RotInvSheaf Time,Test acc: 32.5000 +/- 10.3078 | Val acc: 49.0000,32.5000, 10.307,49.0000
Data_RiSNN10010,15,0,0,100,10,500,3,0.9,MLP,Test acc: 25.5000 +/- 12.1347 | Val acc: 36.0000,25.5000, 12.134,36.0000
Data_RiSNN10010,15,0,0,100,10,500,3,0.9,VanillaSheaf,Test acc: 33.0000 +/- 11.6619 | Val acc: 37.0000,33.0000, 11.661,37.0000
Data_RiSNN10010,15,0,0,100,10,500,3,0.9,DiagSheaf,Test acc: 68.5000 +/- 11.1915 | Val acc: 64.5000,68.5000, 11.191,64.5000
Data_RiSNN10010,15,0,0,100,10,500,3,0.9,RotInvSheaf NoTime,Test acc: 56.5000 +/- 9.5000 | Val acc: 62.0000,56.5000, 9.5000,62.0000
Data_RiSNN10010,15,0,0,100,10,500,3,0.9,RotInvSheaf Time,Test acc: 48.0000 +/- 19.7737 | Val acc: 57.0000,48.0000, 19.773,57.0000
Data_RiSNN5002,15,0,0,500,2,500,3,0.9,MLP,Test acc: 34.3000 +/- 7.2670 | Val acc: 39.3000,34.3000, 7.2670,39.3000
Data_RiSNN5002,15,0,0,500,2,500,3,0.9,VanillaSheaf,Test acc: 32.2000 +/- 3.7363 | Val acc: 34.6000,32.2000, 3.7363,34.6000
Data_RiSNN5002,15,0,0,500,2,500,3,0.9,DiagSheaf,Test acc: 59.2000 +/- 3.6000 | Val acc: 63.3000,59.2000, 3.6000,63.3000
Data_RiSNN5002,15,0,0,500,2,500,3,0.9,RotInvSheaf NoTime,Test acc: 57.2000 +/- 5.1342 | Val acc: 56.8000,57.2000, 5.1342,56.8000
Data_RiSNN5002,15,0,0,500,2,500,3,0.9,RotInvSheaf Time,Test acc: 62.7000 +/- 8.3552 | Val acc: 64.2000,62.7000, 8.3552,64.2000
Data_RiSNN5006,15,0,0,500,6,1500,3,0.9,MLP,Test acc: 38.8000 +/- 6.4777 | Val acc: 43.4000,38.8000, 6.4777,43.4000
Data_RiSNN5006,15,0,0,500,6,1500,3,0.9,VanillaSheaf,Test acc: 31.0000 +/- 4.3359 | Val acc: 35.8000,31.0000, 4.3359,35.8000
Data_RiSNN5006,15,0,0,500,6,1500,3,0.9,DiagSheaf,Test acc: 71.9000 +/- 4.9082 | Val acc: 77.2000,71.9000, 4.9082,77.2000
Data_RiSNN5006,15,0,0,500,6,1500,3,0.9,RotInvSheaf NoTime,Test acc: 68.2000 +/- 8.3403 | Val acc: 74.0000,68.2000, 8.3403,74.0000
Data_RiSNN5006,15,0,0,500,6,1500,3,0.9,RotInvSheaf Time,Test acc: 72.9000 +/- 7.6085 | Val acc: 75.4000,72.9000, 7.6085,75.4000
Data_RiSNN50010,15,0,0,500,10,2500,3,0.9,MLP,Test acc: 38.8000 +/- 6.4777 | Val acc: 43.4000,38.8000, 6.4777,43.4000
Data_RiSNN50010,15,0,0,500,10,2500,3,0.9,VanillaSheaf,Test acc: 29.8000 +/- 5.5281 | Val acc: 37.5000,29.8000, 5.5281,37.5000
Data_RiSNN50010,15,0,0,500,10,2500,3,0.9,DiagSheaf,Test acc: 76.8000 +/- 3.9192 | Val acc: 76.9000,76.8000, 3.9192,76.9000
Data_RiSNN50010,15,0,0,500,10,2500,3,0.9,RotInvSheaf NoTime,Test acc: 75.1000 +/- 6.1066 | Val acc: 77.1000,75.1000, 6.1066,77.1000
Data_RiSNN50010,15,0,0,500,10,2500,3,0.9,RotInvSheaf Time,Test acc: 77.1000 +/- 6.3159 | Val acc: 78.8000,77.1000, 6.3159,78.8000
Data_RiSNN10002,15,0,0,1000,2,1000,3,0.9,MLP,Test acc: 35.0500 +/- 3.6841 | Val acc: 38.1000,35.0500, 3.6841,38.1000
Data_RiSNN10002,15,0,0,1000,2,1000,3,0.9,VanillaSheaf,Test acc: 32.6000 +/- 2.7731 | Val acc: 34.3500,32.6000, 2.7731,34.3500
Data_RiSNN10002,15,0,0,1000,2,1000,3,0.9,DiagSheaf,Test acc: 58.2500 +/- 5.0212 | Val acc: 59.4500,58.2500, 5.0212,59.4500
Data_RiSNN10002,15,0,0,1000,2,1000,3,0.9,RotInvSheaf NoTime,Test acc: 62.5000 +/- 6.2089 | Val acc: 62.8000,62.5000, 6.2089,62.8000
Data_RiSNN10002,15,0,0,1000,2,1000,3,0.9,RotInvSheaf Time,Test acc: 70.5500 +/- 3.3275 | Val acc: 70.9000,70.5500, 3.3275,70.9000
Data_RiSNN10006,15,0,0,1000,6,3000,3,0.9,MLP,Test acc: 35.7000 +/- 6.5238 | Val acc: 36.4500,35.7000, 6.5238,36.4500
Data_RiSNN10006,15,0,0,1000,6,3000,3,0.9,VanillaSheaf,Test acc: 34.1000 +/- 3.4191 | Val acc: 35.5000,34.1000, 3.4191,35.5000
Data_RiSNN10006,15,0,0,1000,6,3000,3,0.9,DiagSheaf,Test acc: 77.5000 +/- 3.6538 | Val acc: 78.7500,77.5000, 3.6538,78.7500
Data_RiSNN10006,15,0,0,1000,6,3000,3,0.9,RotInvSheaf NoTime,Test acc: 78.5500 +/- 3.6705 | Val acc: 79.2500,78.5500, 3.6705,79.2500
Data_RiSNN10006,15,0,0,1000,6,3000,3,0.9,RotInvSheaf Time,Test acc: 82.9500 +/- 4.4522 | Val acc: 84.0000,82.9500, 4.4522,84.0000
Data_RiSNN100010,15,0,0,1000,10,5000,3,0.9,MLP,Test acc: 35.5500 +/- 3.8174 | Val acc: 38.4000,35.5500, 3.8174,38.4000
Data_RiSNN100010,15,0,0,1000,10,5000,3,0.9,VanillaSheaf,Test acc: 34.6500 +/- 2.8200 | Val acc: 36.7000,34.6500, 2.8200,36.7000
Data_RiSNN100010,15,0,0,1000,10,5000,3,0.9,DiagSheaf,Test acc: 79.6000 +/- 3.0561 | Val acc: 79.9000,79.6000, 3.0561,79.9000
Data_RiSNN100010,15,0,0,1000,10,5000,3,0.9,RotInvSheaf NoTime,Test acc: 85.9000 +/- 3.5553 | Val acc: 85.4000,85.9000, 3.5553,85.4000
Data_RiSNN100010,15,0,0,1000,10,5000,3,0.9,RotInvSheaf Time,Test acc: 85.8500 +/- 6.0994 | Val acc: 86.8500,85.8500, 6.0994,86.8500